Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Petani Karet,52,19,1,2012,?pm=sUXZJvBOWnAVOXRVOIrknA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 52,00 Juta","Rp. 19,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 25,00 Juta",1
Petani Karet,80,22,1,2012,?pm=w6Hl2BqbTg2fR8mJSRlu3Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 80,00 Juta","Rp. 22,00 Juta",20 %/Tahun,"Rp. 2,00 Juta","Rp. 30,00 Juta",2
Petani Karet,89,44,1,2012,?pm=vOVfMLXjTjcbmh3ffPBFhw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 89,00 Juta","Rp. 44,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 26,00 Juta",4
Petani Karet,64,42,1,2012,?pm=c625XXTg20ER2XzDsMxITg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 64,00 Juta","Rp. 42,00 Juta",30 %/Tahun,"Rp. 5,00 Juta","Rp. 56,00 Juta",3
Petani Karet,189,36,1,2012,?pm=1xHSJ3+PktoMpn+NgMoqLA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 189,00 Juta","Rp. 36,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 188,00 Juta",5
Petani Karet ,79,24,2,2012,?pm=B/9vxEo26Fmy5lx6WIJ72Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 79,00 Juta","Rp. 24,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 30,00 Juta",2
Petani Karet ,105,18,4,2012,?pm=dnU+CioiMW3kIkSS6KyFig==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 105,00 Juta","Rp. 18,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 25,00 Juta",2
PETANI KOPI,82.200.000,20.000.000,5,2013,?pm=Lt6XAwuMSdphBzRGiJ/1sA==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 82.200.000,00 Juta","Rp. 20.000.000,00 Juta",10 %/Tahun,"Rp. 0,00 Juta","Rp. 90,00 Juta",5
Petani Padai ,89,40,4,2012,?pm=Pt30mIDd48XZT571uSHO6Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 89,00 Juta","Rp. 40,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",4
Petani Padi,62,15,1,2012,?pm=KIghxD5fc45uO7JolCtXrw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 62,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 4,00 Juta","Rp. 60,00 Juta",3
Petani Padi,71,20,1,2012,?pm=hye0a7lzSG8Ebyubyadn5w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 71,00 Juta","Rp. 20,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 69,00 Juta",3
Petani Padi,66,65,1,2012,?pm=/zcdTTi3RjUOOUanaTsI6A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 66,00 Juta","Rp. 65,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 60,00 Juta",3
Petani Padi,50,15,1,2012,?pm=mDIJB5reS80Der51eZa4+Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 50,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 48,00 Juta",4
Petani Padi,101,16,2,2012,?pm=vP1k3/DAZKRZ2fSOIYmZoQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 101,00 Juta","Rp. 16,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",1
Petani Padi,156,75,15,2012,?pm=03qL+zcAgb0ndrWxV91oQA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,15,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 156,00 Juta","Rp. 75,00 Juta",20 %/Tahun,"Rp. 6,00 Juta","Rp. 158,00 Juta",5
Petani Padi,66,20,1,2012,?pm=CXRU6Des/JKq83iYK6abzg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 66,00 Juta","Rp. 20,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 65,00 Juta",1
Petani Padi,262,24,5,2012,?pm=xsfHQiAjvlulRteOL5M+hQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 262,00 Juta","Rp. 24,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 250,00 Juta",5
Petani Padi,367,85,10,2012,?pm=v62+nW6JIZphDX+AExkasA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,10,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 367,00 Juta","Rp. 85,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 350,00 Juta",5
Petani Padi,552,45,2,2012,?pm=tIJPTTn+2HuoPJ/s/ATmcA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 552,00 Juta","Rp. 45,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 400,00 Juta",5
Petani Padi,201,36,2,2012,?pm=ATWLW9gg7I2YZN79a2SyuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 201,00 Juta","Rp. 36,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",3
Petani Padi,203,108,2,2012,?pm=6ldbTGfryIWFhENNWn4WXg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 203,00 Juta","Rp. 108,00 Juta",20 %/Tahun,"Rp. 6,00 Juta","Rp. 200,00 Juta",3
Petani Padi,203,42,5,2012,?pm=l9V+mPYaJbDooC4c9mxnng==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 203,00 Juta","Rp. 42,00 Juta",20 %/Tahun,"Rp. 6,00 Juta","Rp. 200,00 Juta",3
Petani Padi,60,20,2,2012,?pm=g3G9x84+GBPDUOPHriZ6eA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 60,00 Juta","Rp. 20,00 Juta",20 %/Tahun,"Rp. 8,00 Juta","Rp. 58,00 Juta",4
Petani Padi,201,15,2,2012,?pm=yUIKCvCgI6b8JJRvbjxA7g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 201,00 Juta","Rp. 15,00 Juta",20 %/Tahun,"Rp. 8,00 Juta","Rp. 200,00 Juta",4
Petani Padi,61,16,1,2012,?pm=JMAI5UaMIuqDJpuXsfGfdw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 61,00 Juta","Rp. 16,00 Juta",20 %/Tahun,"Rp. 6,00 Juta","Rp. 60,00 Juta",4
Petani Padi,33,20,1,2012,?pm=o9ox3asJi41BzF/lO3rO6Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 33,00 Juta","Rp. 20,00 Juta",20 %/Tahun,"Rp. 2,00 Juta","Rp. 36,00 Juta",3
Petani Padi,35,54,1,2012,?pm=+bFvf0HzsAWkh262rkGibg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 35,00 Juta","Rp. 54,00 Juta",20 %/Tahun,"Rp. 2,00 Juta","Rp. 0,00 Juta",2
PETANI PADI,123,60,3,2011,?pm=P40cllRsEwrpHrZduw0e5g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 123,00 Juta","Rp. 60,00 Juta",50 %/Tahun,"Rp. 10,00 Juta","Rp. 20,00 Juta",5
Petani Padi,170,"40,5",2,2016,?pm=4k35RvqZyk1SVtgNYy4P2Q==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 170,00 Juta","Rp. 40,50 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 15.000,00 Juta",4
Petani Padi,"54,72",27,1,2016,?pm=nfW29lHUm+FcxRtIESDWBQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 54,72 Juta","Rp. 27,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 107,00 Juta",5
Petani Padi,"50,5","47,25",2,2016,?pm=+lldrrWsa5pGtTMoqbCIUg==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 50,50 Juta","Rp. 47,25 Juta",- %/Tahun,"Rp. 6,00 Juta","Rp. 50,00 Juta",2
PETANI SAWIT,63,18,1,2011,?pm=Fjup/rtc5FI7omBqRLwV7Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 63,00 Juta","Rp. 18,00 Juta",50 %/Tahun,"Rp. 10,00 Juta","Rp. 20,00 Juta",5
Peternak Babi,62,78,2,2012,?pm=2blb0U4FpQLyXitwuIrEtA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %",Rendah,"Rp. 62,00 Juta","Rp. 78,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 60,00 Juta",4
Peternak Babi,112,60,4,2012,?pm=HMTq3citFyEagub9lRIkEw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %",Sedang,"Rp. 112,00 Juta","Rp. 60,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 108,00 Juta",1
Peternak Babi,64,48,2,2012,?pm=9AKw89kic7n2ygCf0HGIuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 64,00 Juta","Rp. 48,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 60,00 Juta",4
Peternak Babi,25,26,1,2012,?pm=5BmuT9w8bdadXWnwJwCozw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 25,00 Juta","Rp. 26,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 20,00 Juta",3
Peternak Bandeng,"144,5",25,2,2014,?pm=4OTh+34slPO8lC5XbafTGg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 144,50 Juta","Rp. 25,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 130,00 Juta",3
Peternak Ikan Bawal,179,"13,99",3,2014,?pm=Ypey1wvTW7Dxo4AH1khn0A==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 179,00 Juta","Rp. 13,99 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 150,00 Juta",3
PETERNAKAN,67,36,2,2011,?pm=Zd6YtqRZfwUf3JjdfM4IVQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 67,00 Juta","Rp. 36,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 58,00 Juta",5
PETERNAKAN,55,19,1,2011,?pm=Hb7txaVXmLj/B2NSw51+uQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 55,00 Juta","Rp. 19,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 35,00 Juta",3
Peternakan Ayam,"68,7",21,10,2014,?pm=pVxWoyzw1K962uuroCrTZQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,10,Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   50,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   50,00 %",Tinggi,"Rp. 68,70 Juta","Rp. 21,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 43,00 Juta",4
Peternakan Babi,22,176,2,2011,?pm=SkDXQNIB2xIODghJKy4nbA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 22,00 Juta","Rp. 176,00 Juta",10 %/Tahun,"Rp. 7,50 Juta","Rp. 80,00 Juta",5
PETERNAKAN ITIK,"25,8",36,7,2011,?pm=ah6hIFltJH1vS/D2e3Rkqw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Koperasi,7,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 25,80 Juta","Rp. 36,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 16,00 Juta",5
Peternakan Itik,44.000.000,266.875.000,4,2012,?pm=VNthk4cA2FJbOIo2iuBJGg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Rendah,"Rp. 44.000.000,00 Juta","Rp. 266.875.000,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",1
Peternakan Puyuh,268,180,2,2011,?pm=uUrI/mfBAZF9X1LKOiq7TA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Rendah,"Rp. 268,00 Juta","Rp. 180,00 Juta",60 %/Tahun,"Rp. 0,00 Juta","Rp. 320,00 Juta",5
Produksi Ikan Asin,"60,85","9,5",3,2014,?pm=Xff5i7/pkokJGK9ZzH2oDg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 60,85 Juta","Rp. 9,50 Juta",- %/Tahun,"Rp. 2,00 Juta","Rp. 60,00 Juta",4
Produksi Ikan Asin,"28,47","5,9",1,2014,?pm=LNTCwrx7duPolSpHLtx9NA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 28,47 Juta","Rp. 5,90 Juta",- %/Tahun,"Rp. 2,00 Juta","Rp. 27,00 Juta",4
Produksi Tanaman Hias Dan Mediasi,27,104,3,2012,?pm=x22QiwL9U6+yiQffkn6d5w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Rendah,"Rp. 27,00 Juta","Rp. 104,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 8,00 Juta",4
Pupuk,361,325,1,2012,?pm=w+TTKcEqnkNI9YbhGbMmvQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 361,00 Juta","Rp. 325,00 Juta",25 %/Tahun,"Rp. 6,00 Juta","Rp. 0,00 Juta",5
Rumah Makan Ikan Bakar,883,"339,99",15,2011,?pm=CA08PINKsin/6alrAeDstw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,15,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 883,00 Juta","Rp. 339,99 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 502,00 Juta",7
Sagu,"106,8",18,3,2012,?pm=PrMJTTmqR/vr+Q1JlhrXpg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %",Rendah,"Rp. 106,80 Juta","Rp. 18,00 Juta",100 %/Tahun,"Rp. 3,00 Juta","Rp. 100,00 Juta",2
Sambal Pecel,93,210,5,2009,?pm=y0akt9aCRnBmq8kkdJfzsw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,-,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 93,00 Juta","Rp. 210,00 Juta",25 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",1
Sawit,"171,5",10,2,2014,?pm=aLNK2BimaG5gM+gCWWXS8w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 171,50 Juta","Rp. 10,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 162,00 Juta",4
Sayur,"5,2","9,6",2,2016,?pm=0pWUBVTwHGxUWmXXkN6dVQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 5,20 Juta","Rp. 9,60 Juta",- %/Tahun,"Rp. 6,00 Juta","Rp. 5,00 Juta",3
SAYUR MAYUR,"11,9","115,2",1,2012,?pm=l6L+jSdkCVRs4PCjgMUY3A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 11,90 Juta","Rp. 115,20 Juta",20 %/Tahun,"Rp. 1,50 Juta","Rp. 10,00 Juta",3
Singkong Daun,537,75,2,2016,?pm=Fb1kcpBcYXT6rKYviqEuCA==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 537,00 Juta","Rp. 75,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 515,00 Juta",5
